コード,銘柄,業種,PBR,ROA%,余地,配当質,増配率%,両輪,自社株買い,前向き,会社予想増配%,累進年数,方針,方針点,統合スコア,フラグ
8085,8085 (東S)ナラサキ,卸売業,,,0,配当データ不足,,,不明,5,,0,★★★,6,11,データ欠損
2915,2915 (東P)ケンコーマヨ,食料品,,,0,配当データ不足,,,不明,5,,0,★★★,6,11,データ欠損
6485,6485 (東S)前沢給装,機械,,,0,配当データ不足,,,不明,5,,0,★★★,6,11,データ欠損
7246,7246 (東P)プレス工,輸送用機器,,,0,配当データ不足,,,不明,5,,0,★★★,6,11,データ欠損
2053,2053 (東P)中部飼,食料品,,,0,配当データ不足,,,不明,5,,0,★★★,6,11,データ欠損
1981,1981 (東S)協和日成,建設業,,,0,配当データ不足,,,不明,5,,0,★★★,5,10,データ欠損
6118,6118 (東P)アイダ,機械,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
3513,3513 (東S)イチカワ,繊維製品,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
7417,7417 (東S)南陽,卸売業,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
7299,7299 (東S)フジオーゼ,輸送用機器,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
4761,4761 (東S)さくらＫＣＳ,情報・通信業,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
6091,6091 (東S)ウエスコＨＤ,サービス業,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
6247,6247 (東P)日阪製,機械,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
9319,9319 (東P)中央倉,倉庫・運輸関連業,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
7472,7472 (東S)鳥羽洋行,卸売業,,,0,配当データ不足,,,不明,5,,0,★★☆,4,9,データ欠損
4620,4620 (東S)藤倉化,化学,,,0,配当データ不足,,,不明,5,,0,★★☆,3,8,データ欠損
7279,7279 (東S)ハイレックス,輸送用機器,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
7266,7266 (東S)今仙電機,輸送用機器,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
1850,1850 (東S)南海辰村,建設業,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
6249,6249 (東S)ゲームカード,機械,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
7955,7955 (東P)クリナップ,その他製品,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
2108,2108 (東P)甜菜糖,食料品,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
8920,8920 (東S)東祥,サービス業,,,0,配当データ不足,,,不明,5,,0,★☆☆,2,7,データ欠損
6637,6637 (東S)寺崎電気,電気機器,,,0,配当データ不足,,,不明,5,,0,★☆☆,1,6,データ欠損
9408,9408 (東S)ＢＳＮＨＤ,情報・通信業,,,0,配当データ不足,,,不明,5,,0,★☆☆,1,6,データ欠損
9980,9980 (東S)ＭＲＫＨＬＤ,小売業,,,0,配当データ不足,,,不明,5,,0,★☆☆,1,6,データ欠損
6848,6848 (東S)東亜ＤＫＫ,電気機器,,,0,配当データ不足,,,不明,5,,0,★☆☆,1,6,データ欠損
7539,7539 (東S)アイナボＨＤ,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
8046,8046 (東S)丸藤パ,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
9932,9932 (東P)杉本商,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
6797,6797 (東S)名古屋電機,電気機器,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
3388,3388 (東P)明治電機工業,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
1960,1960 (東S)サンテック,建設業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
2819,2819 (東S)エバラ食品,食料品,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
4224,4224 (東S)ロンシール,化学,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
4629,4629 (東S)大伸化学,化学,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
7235,7235 (東S)東ラヂ,輸送用機器,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
7239,7239 (東P)タチエス,輸送用機器,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
7565,7565 (東S)万世電機,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
7614,7614 (東S)オーエムツー,小売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
9996,9996 (東S)サトー商会,卸売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
4231,4231 (東S)タイガポリ,化学,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
7871,7871 (東S)フクビ,化学,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
9405,9405 (東P)朝日放送ＨＤ,情報・通信業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
9845,9845 (東S)パーカー,化学,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
3020,3020 (東S)アプライド,小売業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
3954,3954 (東S)昭和パックス,パルプ・紙,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
6286,6286 (東S)静甲,機械,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
1798,1798 (東S)守谷商会,建設業,,,0,配当データ不足,,,不明,5,,0,-,0,5,データ欠損
